text|intent
"69"|abuse
"ass"|abuse
"fuck"|abuse
"sex"|abuse
"orgasm"|abuse
"ejaculation"|abuse
"arse"|abuse
"foreskin"|abuse
"shit"|abuse
"skank"|abuse
"abraham"|abuse
"abeed"|abuse
"abo"|abuse
"anal"|abuse
"anus"|abuse
"ape"|abuse
"wound"|abuse
"bitch"|abuse
"boobs"|abuse
"bollocks"|abuse
"baby batter"|abuse
"bang"|abuse
"bastard"|abuse
"masturbate"|abuse
"cock"|abuse
"bean queen"|abuse
"beaner"|abuse
"meat"|abuse
"beat off"|abuse
"bellend"|abuse
"bender"|abuse
"blowjob"|abuse
"blacky"|abuse
"blow a load"|abuse
"blumpkin"|abuse
"bondage"|abuse
"boner"|abuse
"bonk"|abuse
"booty"|abuse
"breast"|abuse
"bugger"|abuse
"bum"|abuse
"bung"|abuse
"butt"|abuse
"buttermilk"|abuse
"cunt"|abuse
"coon"|abuse
"cojones"|abuse
"camel jockey"|abuse
"cameltoe"|abuse
"carpet muncher"|abuse
"chink"|abuse
"testicles"|abuse
"china virus"|abuse
"chingchong"|abuse
"choad"|abuse
"chocha"|abuse
"choke the chicken"|abuse
"cholo"|abuse
"clit"|abuse
"knob"|abuse
"motherfucker"|abuse
"coolie"|abuse
"coot"|abuse
"cooties"|abuse
"cotton picker"|abuse
"creampie"|abuse
"crotch"|abuse
"crow"|abuse
"cum"|abuse
"cunnilingus"|abuse
"dick"|abuse
"dildo"|abuse
"doggy style"|abuse
"dago"|abuse
"darky"|abuse
"retard"|abuse
"diddle"|abuse
"dipstick"|abuse
"dirty sanchez"|abuse
"dolt"|abuse
"dong"|abuse
"douche"|abuse
"dothead"|abuse
"double pen"|abuse
"dump a load"|abuse
"dyke"|abuse
"erectoplasm"|abuse
"faggot"|abuse
"fellatio"|abuse
"finger"|abuse
"flamer"|abuse
"fudge packer"|abuse
"funbags"|abuse
"gay"|abuse
"damn"|abuse
"gash-stabber"|abuse
"garbage bag"|abuse
"gin jockey"|abuse
"girlyboy"|abuse
"girly bits"|abuse
"hell"|abuse
"gook"|abuse
"gowl"|abuse
"greaser"|abuse
"groid"|abuse
"grope"|abuse
"gypsy"|abuse
"harry palms"|abuse
"hebe"|abuse
"nigger"|abuse
"whore"|abuse
"hoe"|abuse
"homosexual"|abuse
"hooters"|abuse
"hustler"|abuse
"injun"|abuse
"jerk off"|abuse
"jerk"|abuse
"jailbait"|abuse
"jackoff"|abuse
"jack off"|abuse
"jap"|abuse
"jew"|abuse
"jiggaboo"|abuse
"jim crow"|abuse
"jizz"|abuse
"kike"|abuse
"kidtoucher"|abuse
"kitty puncher"|abuse
"kkk"|abuse
"klan"|abuse
"negro"|abuse
"ku kluxer"|abuse
"ladyboy"|abuse
"lesbian"|abuse
"loose"|abuse
"mongoloid"|abuse
"man chowder"|abuse
"man seed"|abuse
"meat curtains"|abuse
"milf"|abuse
"molest"|abuse
"mong"|abuse
"mongrel"|abuse
"muff"|abuse
"mushroom tip"|abuse
"niggger"|abuse
"niggers"|abuse
"nipple"|abuse
"nonce"|abuse
"nut butter"|abuse
"nutsack"|abuse
"nymph"|abuse
"pussy"|abuse
"oven dodger"|abuse
"penis"|abuse
"paki"|abuse
"palm jockey"|abuse
"pancake face"|abuse
"pecker"|abuse
"pedophile"|abuse
"peter puffer"|abuse
"pillow biter"|abuse
"piss"|abuse
"pole licker"|abuse
"pole smoker"|abuse
"pole sucker"|abuse
"polesmoker"|abuse
"porch monkey"|abuse
"prick"|abuse
"pull the pud"|abuse
"punani"|abuse
"punta"|abuse
"queer"|abuse
"retarded"|abuse
"raghead"|abuse
"ramrod"|abuse
"reacharound"|abuse
"rectum"|abuse
"redskin"|abuse
"monkey"|abuse
"rim job"|abuse
"slut"|abuse
"sadomasochism"|abuse
"ballsack"|abuse
"salad tosser"|abuse
"sambo"|abuse
"sausage jockey"|abuse
"schlong"|abuse
"scum"|abuse
"scut"|abuse
"shemale"|abuse
"shiester"|abuse
"shlong"|abuse
"shylock"|abuse
"sissy"|abuse
"slant eye"|abuse
"slag"|abuse
"slit"|abuse
"snatch"|abuse
"spank"|abuse
"sperm"|abuse
"sphincter"|abuse
"spic"|abuse
"spook"|abuse
"spunk"|abuse
"stump chewer"|abuse
"suck"|abuse
"swine"|abuse
"tacohead"|abuse
"tadger"|abuse
"taking the piss"|abuse
"tallywacker"|abuse
"tar-baby"|abuse
"tart"|abuse
"throat yogurt"|abuse
"throater"|abuse
"tickle the pickle"|abuse
"tit"|abuse
"tosser"|abuse
"tossing salad"|abuse
"towelhead"|abuse
"tramp"|abuse
"tranny"|abuse
"transvestite"|abuse
"trouser snake"|abuse
"trousersnake"|abuse
"turd"|abuse
"twat"|abuse
"twink"|abuse
"upskirt"|abuse
"vagina"|abuse
"vulva"|abuse
"wank"|abuse
"wang"|abuse
"wetback"|abuse
"weenie"|abuse
"weiner"|abuse
"whack off"|abuse
"willy-whacker"|abuse
"window licker"|abuse
"wop"|abuse
"zipperhead"|abuse
"asshole"|abuse
"dickhead"|abuse
"crap"|abuse
"piss off"|abuse
"goddamn"|abuse
"cockwomble"|abuse
"dipshit"|abuse
"knuckledragger"|abuse
"puke"|abuse
"shithead"|abuse
"scumbag"|abuse
"scrote"|abuse
"slimeball"|abuse
"bastardass"|abuse
"dingleberry"|abuse
"shitbag"|abuse
"fucknut"|abuse
"asswipe"|abuse
"jerkoff"|abuse
"jackass"|abuse
"fuckface"|abuse
"shitstick"|abuse
"poophead"|abuse
"spastic"|abuse
"sewer rat"|abuse
"slime"|abuse
"puke stain"|abuse
"greaseball"|abuse
"twatwaffle"|abuse
"dingus"|abuse
"assclown"|abuse
"filth"|abuse
"maggot"|abuse
"heretic"|abuse
"vermin"|abuse
"grease monkey"|abuse
"peabrain"|abuse
"halfwit"|abuse
"blockhead"|abuse
"idiot"|abuse
"moron"|abuse
"dumb"|abuse
"brain-dead fool"|abuse
"fool"|abuse
"imbecile"|abuse
"clueless"|abuse
"pathetic"|abuse
"stupid clown"|abuse
"stupid"|abuse
"ridiculous"|abuse
"clueless nincompoop"|abuse
"nincompoop"|abuse
"garbage"|abuse
"dunce"|abuse
"overcrowd the idiot spectrum"|abuse
"overcrowd"|abuse
"idiot spectrum"|abuse
"tin-eared twit"|abuse
"useless sack"|abuse
"useless"|abuse
"senseless dolt"|abuse
"brain-fried"|abuse
"joyless"|abuse
"half clue missing"|abuse
"verbal vacuum"|abuse
"worthless"|abuse
"dimwit"|abuse
"sniveling fool"|abuse
"acant leech"|abuse
"mindless drone"|abuse
"bumbling buffoon"|abuse
"dim bulb"|abuse
"tone deaf numskull"|abuse
"snooze fest"|abuse
"presence bores me"|abuse
"nonsense"|abuse
"pedestrian trash"|abuse
"lamentable"|abuse
"dullard"|abuse
"pompous peacock"|abuse
"vacuous"|abuse
"worthless worm"|abuse
"cloddish oaf"|abuse
"bumbling mess"|abuse
"senseless hack"|abuse
"embarrassment"|abuse
"irritated me"|abuse
"rude boor"|abuse
"insufferable"|abuse
"careless baboon"|abuse
"subpar at best"|abuse
"piece of junk"|abuse
"shut the fuck up"|abuse
"eat shit"|abuse
"go to hell"|abuse
"drop dead"|abuse
"crawl under rock"|abuse
"go choke"|abuse
"shove it up ass"|abuse
"beat it, loser"|abuse
"kick rocks"|abuse
"get bent"|abuse
"buzz off"|abuse
"piss right off"|abuse
"go take hike"|abuse
"vanish forever"|abuse
"scram, idiot"|abuse
"take long walk off short pier"|abuse
"get lost forever"|abuse
"vanish like coward"|abuse
"pipe down, fool"|abuse
"button it"|abuse
"zip lip"|abuse
"silence self"|abuse
"quit talking"|abuse
"stifle nonsense"|abuse
"leave me alone"|abuse
"go fetch dignity"|abuse
"step back, scumbag"|abuse
"spare me breath"|abuse
"spare us whining"|abuse
"hold tongue"|abuse
"shush, moron"|abuse
"hush up"|abuse
"butt out"|abuse
"bury self"|abuse
"fade away"|abuse
"go ghost on me"|abuse
"disappear"|abuse
"take hike"|abuse
"jog on"|abuse
"scram"|abuse
"scoot"|abuse
"piss off immediately"|abuse
"bugger off"|abuse
"jog off"|abuse
"clear out"|abuse
"scatter"|abuse
"go waste air"|abuse
"step aside, buffoon"|abuse
"beat feet"|abuse
bravo, Einstein|abuse
give self handshake|abuse
clap for self|abuse
what an achievement|abuse
congrats on being dim|abuse
well done, brainiac|abuse
amazing display of talent|abuse
you’ve outdone stupidity|abuse
that was enlightening|abuse
fab effort, imbecile|abuse
round of applause for you|abuse
should write book|abuse
shining star|abuse
splendid disaster|abuse
sheer brilliance, idiot|abuse
nice one, buffoon|abuse
stellar performance|abuse
peak idiocy|abuse
what genius move|abuse
groundbreaking stupidity|abuse
masterclass in foolishness|abuse
"epic fail"|abuse
"that changed the world"|abuse
"cheers, fool"|abuse
"rock at messing up"|abuse
"congratulations on nowhere"|abuse
"award-winning ignorance"|abuse
"nailed that blunder"|abuse
"bravo, halfwit"|abuse
"lovely idiocy"|abuse
"astonishingly mindless"|abuse
"superb job screwing up"|abuse
"remarkable oversight"|abuse
"the MVP of mistakes"|abuse
"champion of error"|abuse
"outstanding misstep"|abuse
"perfect screw-up"|abuse
"legendary mess-up"|abuse
"way to ruin everything"|abuse
"wanker"|abuse
"berk"|abuse
"pillock"|abuse
"muppet"|abuse
"plonker"|abuse
"numpty"|abuse
"knobhead"|abuse
"gobshite"|abuse
"daft cow"|abuse
"blighter"|abuse
"divvy"|abuse
"hooligan"|abuse
"scallywag"|abuse
"cheeky tosser"|abuse
"sassy git"|abuse
"knacker"|abuse
"ratbag"|abuse
"ruffian"|abuse
"chav"|abuse
"yob"|abuse
"jobbernowl"|abuse
"eejit"|abuse
"manky"|abuse
"bampot"|abuse
"gobdaw"|abuse
"gobby"|abuse
"barking mad"|abuse
"knucklehead"|abuse
"nip"|abuse
"honky"|abuse
"darkie"|abuse
"kraut"|abuse
"yid"|abuse
"what joke are"|abuse
"absolutely pointless"|abuse
"beyond help"|abuse
"total waste"|abuse
"waste"|abuse
"boring"|abuse
"dispensable"|abuse
"unbelievably dull"|abuse
"totally redundant"|abuse
"purely unnecessary"|abuse
"ridiculously unhelpful"|abuse
"utterly worthless"|abuse
"contribute nothing"|abuse
"hopelessly incompetent"|abuse
"fatally flawed"|abuse
"irredeemable"|abuse
"hopelessly pointless"|abuse
"tediously ineffective"|abuse
"bland excuse"|abuse
"plain useless"|abuse
"marvellously mediocre"|abuse
"catastrophically ineffective"|abuse
"embarrassingly weak"|abuse
"strikingly inept"|abuse
"alarmingly vacant"|abuse
"remarkably pointless"|abuse
"depressingly unskilled"|abuse
"astoundingly trivial"|abuse
"insufferably dull"|abuse
"offensively boring"|abuse
"painfully shallow"|abuse
"drably useless"|abuse
"monotonously pointless"|abuse
"glaringly incompetent"|abuse
"regrettably inert"|abuse
"dismally feeble"|abuse
"lamentably hollow"|abuse
"supremely unproductive"|abuse
"flatulent mortal"|abuse
"rancid scoundrel"|abuse
"half-baked buffoon"|abuse
"rancorous wretch"|abuse
"repulsive ignoramus"|abuse
"brainless carcass"|abuse
"hollow shell"|abuse
"malodorous buffoon"|abuse
"contemptible hack"|abuse
"detestable cretin"|abuse
"absolute tool"|abuse
"steaming pile of garbage"|abuse
"shove opinion"|abuse
"just disappear already"|abuse
"talk less, ruin less"|abuse
"face offends me"|abuse
"every word say hurts"|abuse
"were mistake"|abuse
"get off the internet"|abuse
"stupidity"|abuse
"brain on permanent vacation"|abuse
"ignorance"|abuse
"lowers IQ"|abuse
"pollute logic"|abuse
"bot"|abuse
"pity brain"|abuse
"go hug cactus"|abuse
"allergic to wisdom"|abuse
"fart nonsense"|abuse
"ooze mediocrity"|abuse
"talking to kills neurons"|abuse
"please return to sender"|abuse
"go talk to wall instead"|abuse
"presence loud and wrong"|abuse
"embarrassed"|abuse
"suing"|abuse
"my brain just filed complaint"|abuse
"villain in common sense"|abuse
"karmskipped for reason"|abuse
"running on glitch energy"|abuse
"belong in recycle bin"|abuse
"software outdated and dumb"|abuse
"outdated"|abuse
"get refund on existence"|abuse
"who let online?"|abuse
"try shutting down forever"|abuse
"failed the captchof humanity"|abuse
"logic malware"|abuse
"crash every conversation"|abuse
"stuck in betstupidity"|abuse
"update brain or uninstall"|abuse
"IQ 404"|abuse
"you’ve got PhD in failure"|abuse
"vibe spam"|abuse
"spam"|abuse
"need antivirus for thoughts"|abuse
"I’d delete if could"|abuse
"the bug in my system"|abuse
"get reboot, clown"|abuse
"syntax error: human not found"|abuse
"code broken"|abuse
"go run memory wipe"|abuse
"deprecated"|abuse
"glitch through life"|abuse
"trash has more use than you"|abuse
"built wrong"|abuse
"logic bug report"|abuse
"lag behind reality"|abuse
"patch note for disaster"|abuse
"corrupted file"|abuse
"datrejected: you"|abuse
"belong in the recycle bin"|abuse
"delete personality"|abuse
"alt+f4 attitude"|abuse
"even robots hate you"|abuse
"Siri cringes at voice"|abuse
"Alexignored for reason"|abuse
"go reinstall brain"|abuse
"trigger system crashes"|abuse
"close app, permanently"|abuse
"go factory reset self"|abuse
"mind full of adware"|abuse
"were test that failed"|abuse
"Google can’t even help you"|abuse
"lost in popup storm"|abuse
"thoughts need firewall"|abuse
"soul captchfail"|abuse
"every choice make wrong"|abuse
"living in error"|abuse
"expired long ago"|abuse
"karma’s avoiding you"|abuse
"logic just ghosted you"|abuse
"repel intelligence"|abuse
"wouldn’t trust with crayons"|abuse
"get outsmarted by toasters"|abuse
"argue like flat tire"|abuse
