Phrase|Meaning|intent
Aburek suda|Grandmother fucker|abuse   (1%)      (0%)
Baah Khuwa|Unsuccessful, a loser|abuse   (1%)      (0%)
Baal|Pubes|abuse   (1%)      (0%)
baal kela|pubic hair and dick|abuse   (1%)      (1%)
baal khuruwa|person, whose pubic hair is shaven|abuse   (1%)      (0%)
baaperor konitu|your father's dick|abuse   (1%)      (1%)
baaperor pukorkhon|your father's asshole|abuse   (10%)      (1%)
Bal|Abusing some one|abuse   (10%)      (1%)
Bandor Chod|Monkey Fucker|abuse   (10%)      (2%)
Bari|Dick|abuse   (1%)      (1%)
Bengena Mora|Female masturbating with brinjal|abuse   (1%)      (1%)
billa suda|prostitute fucker|abuse   (10%)      (2%)
bimakho khoigra|fucker of mom|abuse   (1%)      (2%)
boinaak sudaai|sister fucker|abuse   (10%)      (5%)
boiner lalak|husband of sister|abuse   (9%)      (7%)
boithali|prostitute|abuse   (8%)      (15%)
buch seleka|licker of cunt|abuse   (10%)      (4%)
Bush|Pussy|abuse   (1%)      (0%)
Bush mara|Fucking of Pussy|abuse   (10%)      (2%)
Bushot tel diya|Lubricating the vagina with oil|abuse   (10%)      (1%)
Chet|Dick|abuse   (10%)      (3%)
Dumb bitch|Dumb bitch|abuse   (0%)      (0%)
ekka she duuka|you peice of shit|abuse   (9%)      (8%)
fifa ni lodoi|penis of father|abuse   (1%)      (2%)
Fuck Dang Fo!|What the fuck!|abuse   (10%)      (4%)
gar mora|Fucking asshole|abuse   (10%)      (4%)
Gida|Cunt|abuse   (1%)      (1%)
Gida Khua|Cunt Eater / Pussy Eater|abuse   (10%)      (3%)
Gu|Shit|abuse   (10%)      (1%)
Gu Khuwa|Shit Eater|abuse   (10%)      (1%)
guti phata|ball crack|abuse   (10%)      (0%)
guu kha|eat shit|abuse   (10%)      (0%)
guu kha mokkel|eat shit dumbass/dickhead/shithead|abuse   (10%)      (3%)
Hetta marani|Female public fucker|abuse   (0%)      (0%)
Jairir badcha|Son of a horny cow|abuse   (10%)      (5%)
Jhaant singa|Pubic Hair plucker|abuse   (10%)      (4%)
johoni jua|curse you to die with loose motion|abuse   (10%)      (2%)
Johora|Basterd|abuse   (10%)      (1%)
Jonghol|Pubes|abuse   (9%)      (7%)
Kela|dick|abuse   (10%)      (1%)
Keti|Pussy|abuse   (9%)      (5%)
Koti Mara|Ass Fucking|abuse   (10%)      (4%)
Kotit bari homai dim|I will push my dick into your ass|abuse   (10%)      (2%)
kotit jui laga|burning ass|abuse   (10%)      (0%)
Kukur'or puwali|Son of a dog|abuse   (10%)      (2%)
Kuti sudidim maksudai|I will check your ase motherfucker|abuse   (9%)      (13%)
laura|penis|abuse   (1%)      (1%)
Lauri ke bal|Dick hair|abuse   (10%)      (0%)
Lothou Guti|Hanging Balls / Testicles|abuse   (9%)      (8%)
Ludoi|Dick|abuse   (10%)      (1%)
Maaeror Boos, maksudai|Your mother's cunt, motherfucker|abuse   (10%)      (1%)
Maaeror fof khon|your mother's pussy.|abuse   (10%)      (5%)
maak sudai|mother fucker|abuse   (10%)      (2%)
Maaror bhumikhon kela|Mothers pussy|abuse   (10%)      (5%)
maka dingding|mother's boobs|abuse   (1%)      (2%)
maka linglang|mother's clitoris|abuse   (9%)      (11%)
Maksaai|Mother Fucker|abuse   (10%)      (4%)
Maksudu kela|Motherfucker bitch|abuse   (0%)      (0%)
mangmarani|pussy fucker|abuse   (10%)      (3%)
Meeyarek Kohai|Mother Sucker|abuse   (10%)      (2%)
meksudai|mother fucker|abuse   (10%)      (0%)
Mumu|Dick|abuse   (1%)      (1%)
Nagori putek|son of a bustard|abuse   (10%)      (1%)
Naliya|Despicable|abuse   (9%)      (6%)
Pel suha|Seman eater|abuse   (10%)      (0%)
Pheda cheleka|Cunt licker|abuse   (9%)      (13%)
Pisla Sett|Slimmy Pussy|abuse   (10%)      (0%)
Pokorot Kothal Bhoram|I'll shove a jackfruit up your ass|abuse   (10%)      (1%)
pukor selek|suck my asshole|abuse   (9%)      (9%)
pukorot lat mara|pussy kicking|abuse   (0%)      (100%)
raandii|prostitude|abuse   (10%)      (5%)
Randir soli|Son of a prostitute|abuse   (10%)      (0%)
Rendi Dallal|Pimp|abuse   (10%)      (4%)
Rendir Beta|Son of a whore|abuse   (9%)      (6%)
Rendy Suda|Whore Fucker|abuse   (10%)      (5%)
Set Suda|Dick fucker|abuse   (10%)      (0%)
setor baal|penis hair / pubic hair|abuse   (10%)      (4%)
sipha jagra|eater of cunt|abuse   (9%)      (9%)
Sudasudi|Fucking|abuse   (10%)      (4%)
Sudi Gida Falidim|Will fuck and tear your pussy|abuse   (10%)      (4%)
Sudumoni|Sucker|abuse   (0%)      (0%)
Sudur Bhai|Sister Fucker|abuse   (1%)      (1%)
sut marani|fucker|abuse   (10%)      (1%)
syetor moila|dirt of a penis|abuse   (10%)      (2%)
Tez piya|Bloodsucking bat|abuse   (10%)      (0%)
Tumak sudibor mon goise|I want to fuck u|abuse   (9%)      (7%)
tur maak sudu|i fuck your mama|abuse   (10%)      (3%)
Tur Maak Sudu|Fuck Your Mama|abuse   (10%)      (4%)
Tur maraok rastat kukur logi sudam..|I will take dog to fuck your mom|abuse   (1%)      (0%)
