utterance                                                                   , intent        , tokens                                                                                                                                                                 , token_ids
please close yt                                                             , close         , "['please', 'Ġclose', 'Ġyoutube']"                                                                                                                                     , "[504, 685, 468]"
I need out                                                                  , close         , "['i', 'Ġneed', 'Ġout']"                                                                                                                                               , "[77, 801, 458]"
close it down                                                               , close         , "['close', 'Ġit', 'Ġdown']"                                                                                                                                            , "[389, 377, 612]"
shut the gates                                                              , close         , "['shut', 'Ġthe', 'Ġgates']"                                                                                                                                           , "[598, 269, 4609]"
power down sequence                                                         , close         , "['power', 'Ġdown', 'Ġsequence']"                                                                                                                                      , "[1195, 612, 2206]"
exit the dashboard                                                          , close         , "['exit', 'Ġthe', 'Ġdashboard']"                                                                                                                                       , "[774, 269, 1792]"
wrap it up                                                                  , close         , "['wrap', 'Ġit', 'Ġup']"                                                                                                                                               , "[1112, 377, 325]"
Shut this thing off for me                                                  , close         , "['shut', 'Ġthis', 'Ġthing', 'Ġoff', 'Ġfor', 'Ġme']"                                                                                                                   , "[598, 346, 868, 571, 298, 283]"
"Kill that tab, it’s annoying"                                              , close         , "['kill', 'Ġthat', 'Ġtab', 'Ġ,', 'Ġit', 'Ġbe', 'Ġannoying']"                                                                                                           , "[1006, 393, 956, 399, 377, 297, 4173]"
Can you close the music player?                                             , close         , "['can', 'Ġyou', 'Ġclose', 'Ġthe', 'Ġmusic', 'Ġplayer', 'Ġ?']"                                                                                                         , "[383, 314, 685, 269, 493, 1411, 292]"
"Exit out of this app, I’m done"                                            , close         , "['exit', 'Ġout', 'Ġof', 'Ġthis', 'Ġapp', 'Ġ,', 'Ġi', 'Ġbe', 'Ġdo']"                                                                                                   , "[774, 458, 310, 346, 407, 399, 323, 297, 359]"
"Yo, back outta that screen"                                                , close         , "['yo', 'Ġ,', 'Ġback', 'Ġoutta', 'Ġthat', 'Ġscreen']"                                                                                                                  , "[878, 399, 660, 2716, 393, 715]"
Just get rid of this popup                                                  , close         , "['just', 'Ġget', 'Ġrid', 'Ġof', 'Ġthis', 'Ġpopup']"                                                                                                                   , "[1475, 751, 2543, 310, 346, 2338]"
Nuke the browser tab now                                                    , close         , "['nuke', 'Ġthe', 'Ġbrowser', 'Ġtab', 'Ġnow']"                                                                                                                         , "[2843, 269, 1716, 956, 490]"
"Close that folder window, it's cluttering the view"                        , close         , "['close', 'Ġthat', 'Ġfolder', 'Ġwindow', 'Ġ,', 'Ġit', 'Ġbe', 'Ġcl', 'utter', 'Ġthe', 'Ġview']"                                                                        , "[389, 393, 2087, 577, 399, 377, 297, 562, 4614, 269, 1043]"
"Quit the chat app, I'm logging off"                                        , close         , "['quit', 'Ġthe', 'Ġchat', 'Ġapp', 'Ġ,', 'Ġi', 'Ġbe', 'Ġlogging', 'off']"                                                                                              , "[2710, 269, 1209, 407, 399, 323, 297, 3915, 797]"
Wrap this window up                                                         , close         , "['wrap', 'Ġthis', 'Ġwindow', 'Ġup']"                                                                                                                                  , "[1112, 346, 577, 325]"
Slide that one away for me                                                  , close         , "['slide', 'Ġthat', 'Ġone', 'Ġaway', 'Ġfor', 'Ġme']"                                                                                                                   , "[4202, 393, 995, 1809, 298, 283]"
"End that task, it’s frozen"                                                , close         , "['end', 'Ġthat', 'Ġtask', 'Ġ,', 'Ġit', 'Ġbe', 'Ġf', 'ro', 'z', 'en']"                                                                                                 , "[421, 393, 1225, 399, 377, 297, 272, 309, 94, 279]"
