text|intent
Shut off the main gate|system
Could you please close the living room curtains|system
Turn off the basement window|system
Seal the back door|system
Can you close out this application|system
Would you mind closing the pop-up ad|system
Terminate the current tab|system
Please close the blinds in the dining area|system
Exit the document|system
Deactivate the kitchen fan|system
Close down the program|system
Could you shut the car window|system
Please close the trunk|system
End the active session|system
Close the lid of the laptop|system
Can you close the refrigerator door fully|system
Switch off the bedroom lamp|system
Cut off the water valve|system
Could you close the umbrella|system
Please close the gate latch|system
Close the oven door securely|system
Shut the cupboard door|system
Close the closet door|system
Close the file you just opened|system
Please close the drapes in the study|system
Close the hood of the car|system
Can you close the drawer quietly|system
Shut down the terminal window|system
Please close the lid on the trash can|system
Close the browser tab|system
Shut off the main gate|system
Could you please close the living room curtains|system
Turn off the basement window|system
Seal the back door|system
Can you close out this application|system
Would you mind closing the pop-up ad|system
Terminate the current tab|system
Please close the blinds in the dining area|system
Exit the document|system
Deactivate the kitchen fan|system
Close down the program|system
Could you shut the car window|system
Please close the trunk|system
End the active session|system
Close the lid of the laptop|system
Can you close the refrigerator door fully|system
Switch off the bedroom lamp|system
Cut off the water valve|system
Could you close the umbrella|system
Please close the gate latch|system
Close the oven door securely|system
Shut the cupboard door|system
Close the closet door|system
Close the file you just opened|system
Please close the drapes in the study|system
Close the hood of the car|system
Can you close the drawer quietly|system
Shut down the terminal window|system
Please close the lid on the trash can|system
Close the browser tab|system
Power down the external hard drive|system
Could you please close the pop-up window|system
Turn off the television in the den|system
Can you shut the sliding door|system
Deactivate the alarm system|system
Close the application running in the background|system
Please close the account details|system
Terminate the video call|system
Close the garage entrance|system
Would you close the living room door|system
I need you to close the front gate|system
Shut the passenger window|system
Can you close the settings menu|system
Close the main circuit breaker|system
Please shut off the water supply|system
Could you close the balcony door|system
Close the pet door|system
Shut down the system process|system
Close out this game|system
Turn off the exterior lights|system
Please close the child safety gate|system
Close the pool cover|system
Can you close the air vent|system
Deactivate the smart lock|system
Close the privacy screen|system
Shut the car door firmly|system
Please close the microwave door|system
Close the chimney damper|system
